web-scraper-order,web-scraper-start-url,song,time
"1699698318-1","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","Welcome To New York (Taylor's Version)
        
      
      
        
          Taylor Swift","3:33"
"1699698318-2","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","Blank Space (Taylor's Version)
        
      
      
        
          Taylor Swift","3:52"
"1699698318-3","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","Style (Taylor's Version)
        
      
      
        
          Taylor Swift","3:51"
"1699698318-4","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","Out Of The Woods (Taylor's Version)
        
      
      
        
          Taylor Swift","3:56"
"1699698318-5","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","All You Had To Do Was Stay (Taylor's Version)
        
      
      
        
          Taylor Swift","3:14"
"1699698318-6","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","Shake It Off (Taylor's Version)
        
      
      
        
          Taylor Swift","3:40"
"1699698318-7","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","I Wish You Would (Taylor's Version)
        
      
      
        
          Taylor Swift","3:28"
"1699698318-8","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","Bad Blood (Taylor's Version)
        
      
      
        
          Taylor Swift","3:32"
"1699698318-9","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","1 Hour Clean Pop Songs Playlist 🎧 Clean Pop Playlist 2023 🎶 Clean Pop Music Mix 🎵 Clean Pop Mix
        
      
      
        
          Revive Music","1:24:27"
"1699698318-10","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","Wildest Dreams (Taylor's Version)
        
      
      
        
          Taylor Swift","3:41"
"1699698318-11","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","How You Get The Girl (Taylor's Version)
        
      
      
        
          Taylor Swift","4:08"
"1699698318-12","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","This Love (Taylor’s Version)
        
      
      
        
          Taylor Swift","4:11"
"1699698318-13","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","I Know Places (Taylor's Version)
        
      
      
        
          Taylor Swift","3:16"
"1699698318-14","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","Clean (Taylor's Version)
        
      
      
        
          Taylor Swift","4:31"
"1699698318-15","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","Wonderland (Taylor's Version)
        
      
      
        
          Taylor Swift","4:06"
"1699698318-16","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","You Are In Love (Taylor's Version)
        
      
      
        
          Taylor Swift","4:28"
"1699698318-17","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","New Romantics (Taylor's Version)
        
      
      
        
          Taylor Swift","3:51"
"1699698318-18","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","""Slut!"" (Taylor's Version) (From The Vault)
        
      
      
        
          Taylor Swift","3:01"
"1699698318-19","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","Say Don't Go (Taylor's Version) (From The Vault)
        
      
      
        
          Taylor Swift","4:40"
"1699698318-20","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","Now That We Don't Talk (Taylor's Version) (From The Vault)
        
      
      
        
          Taylor Swift","2:27"
"1699698318-21","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","Suburban Legends (Taylor's Version) (From The Vault)
        
      
      
        
          Taylor Swift","2:52"
"1699698318-22","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","Is It Over Now? (Taylor's Version) (From The Vault)
        
      
      
        
          Taylor Swift","3:50"
"1699698318-23","https://www.youtube.com/watch?v=w6Y8fvBczYM&list=PLxA687tYuMWiHaLuwtNz6edZMBBgrXTL_&index=3","1 Hour Clean Pop Songs Playlist 🎧 Clean Pop Playlist 2023 🎶 Clean Pop Music Mix 🎵 Clean Pop Mix
        
      
      
        
          Revive Music","1:24:27"
